"RiskPerformance","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","MSinceOldestTradeOpen","InqInLast7days","ExternalRiskEstimate"
1,5,84,20,3,2,2,3,5,1,43,2,0,33,-8,8,1,1,69,144,0,55
1,16,41,2,4,4,1,0,8,0,67,2,0,0,-8,0,0,0,0,58,0,61
1,6,24,9,0,4,1,7,8,4,44,2,4,53,66,4,2,1,86,66,0,67
1,2,73,28,1,3,6,6,6,3,57,2,5,72,83,6,4,3,91,169,1,66
1,28,132,12,0,4,1,7,8,0,25,2,1,51,89,3,1,0,80,333,0,81
1,12,78,31,0,3,2,4,6,1,47,2,0,62,93,12,4,3,94,137,0,59
0,8,37,25,0,3,4,4,6,3,58,2,4,89,76,7,7,2,100,88,0,54
0,8,65,17,0,2,6,6,6,1,44,2,0,28,48,2,2,2,40,148,0,68
1,3,138,24,0,2,3,4,6,1,26,2,1,68,-8,7,1,3,90,324,0,59
1,5,36,19,0,3,3,4,6,3,26,2,6,31,86,5,3,1,62,79,0,61
0,6,47,16,0,4,1,7,8,3,31,2,0,15,88,4,2,0,67,96,0,82
1,26,76,12,1,1,2,3,5,0,20,2,1,84,64,5,2,2,88,311,0,50
1,3,66,23,0,4,1,6,8,4,39,2,2,18,65,3,5,1,67,274,0,74
0,7,117,11,1,4,1,7,8,1,8,2,0,13,-8,2,0,0,67,256,0,69
1,27,95,3,2,2,6,6,4,0,100,2,0,-8,-8,0,1,0,100,262,0,63
1,4,77,34,0,3,6,6,6,2,36,2,11,71,80,10,2,3,82,184,1,63
1,20,68,14,0,2,2,4,6,0,33,2,2,62,68,3,3,1,86,256,1,61
1,5,59,16,4,2,5,6,5,4,58,2,4,25,91,3,4,1,70,131,0,62
1,10,147,10,0,4,1,7,8,1,10,2,0,3,-8,2,0,0,50,244,0,89
1,3,26,15,1,4,1,7,8,2,25,2,4,31,83,5,1,0,75,43,0,65
1,5,73,27,1,3,2,0,2,2,48,2,4,44,87,3,2,3,56,147,0,57
1,12,83,22,0,4,1,7,8,1,41,2,0,49,23,6,2,1,73,365,0,72
